HeapEnqueue	HeapDequeue	ArrayEnqueue	ArrayDequeue
1.171	0.511	0.571	4.878
0.437	0.573	0.565	4.87
1.237	0.551	0.526	6.427
0.814	0.573	0.563	5.13
1.587	0.559	0.565	5.053
0.441	0.418	0.57	4.416
1.085	0.5	0.539	4.256
1.64	0.514	0.575	4.343
0.445	0.462	0.567	4.395
0.794	0.498	0.565	4.501
1.631	0.479	0.615	4.647
1.228	0.563	0.572	5.222
0.431	0.545	0.575	5.286
1.57	0.596	0.526	5.39
0.785	0.523	0.56	5.349
0.458	0.584	0.556	5.299
0.443	0.468	0.551	5.073
0.397	0.554	0.562	5.51
0.44650000000000006	0.536	0.56	5.543
0.469	0.56	0.571	5.31
0.47	0.587	0.547	5.195
0.442	0.516	0.563	5.167
0.433	0.628	0.586	5.313
0.434	0.5599999999999999	0.587	5.603
0.7153333333333333	0.528	0.596	5.284
1.215	0.532	0.547	6.549
0.921	0.569	0.586	5.455
0.847	0.55	0.543	5.667
0.448	0.579	0.583	5.585
0.442	0.498	0.559	5.551
0.435	0.567	0.556	5.626
0.418	0.612	0.573	5.599
0.441	0.559	0.583	5.6
1.683	0.542	0.558	5.654
1.04	0.544	0.566	5.755
1.54	0.554	0.585	5.54
1.725	0.607	0.553	5.657
0.433	0.577	0.544	5.504
0.489	0.573	0.629	4.75
0.9383333333333334	0.59	0.645	5.823
0.476	0.664	0.551	5.612
1.219	0.509	0.556	5.566
1.288	0.53	0.584	5.685
0.492	0.543	0.547	5.671
0.445	0.562	0.573	5.7
0.462	0.536	0.551	5.811
0.862	0.509	0.558	7.373
0.444	0.581	0.593	5.858
0.437	0.518	0.534	5.621
0.442	0.632	0.525	5.678
0.447	0.54	0.56	5.506
0.5848333333333334	0.413	0.538	5.383
0.906	0.472	0.538	5.368
0.443	0.489	0.546	5.335
0.834	0.54	0.55	4.865
1.271	0.513	0.547	5.011
1.674	0.549	0.533	5.369
0.457	0.528	0.585	5.623
0.865	0.522	0.569	5.834
1.196	0.509	0.611	5.66
0.683	0.528	0.557	5.844
0.823	0.541	0.558	5.924
0.424	0.532	0.563	6.028
0.438	0.541	0.536	5.935
0.7718333333333334	0.461	0.58	5.429
0.501638888888889	0.556	0.584	5.718
0.462	0.51	0.546	9.603
0.472	0.614	0.574	5.958
0.442	0.6	0.951	6.004
0.46	0.48	0.573	5.737
0.495	0.522	0.524	5.163
0.441	0.493	0.561	6.088
0.889	0.568	0.56	6.17
0.44	0.546	0.535	5.7156666666666665
0.788	0.486	0.578	5.649
0.648	0.515	0.575	5.686
0.465	0.477	0.58	5.538
0.489	0.344	0.593	5.517
0.817	0.467	0.567	5.331
0.432	0.507	0.56	5.562
0.6518333333333334	0.464	0.563	5.537
0.41	0.572	0.557	5.619
0.454	0.52	0.569	5.356
1.309	0.47633333333333344	0.593	5.927
0.461	0.454	0.552	5.425999999999999
1.582	0.438	0.557	6.318
0.877	0.41	0.55	4.604
1.323	0.362	0.551	4.732
0.765	0.5	0.609	4.403
1.736	0.381	0.632	4.33
1.27	0.44	0.6	4.309
0.471	0.345	0.557	4.509
1.447	0.358	0.522	4.476
0.431	0.37	0.524	4.919
1.179	0.473	0.563	4.58
0.795	0.709	0.583	5.118
0.813	0.53	0.531	5.0035
1.786	0.479	0.532	4.968
0.498	0.479	0.574	4.932
1.167	0.509	0.552	5.504
1.822	0.556	0.56	6.045
0.432	0.494	0.568	5.98
1.565	0.582	0.522	5.985
1.0938333333333332	0.725	0.598	6.093
0.822	0.5555000000000001	0.555	11.042
0.433	0.463	0.553	5.25
0.6665833333333332	0.546	0.599	5.589
0.473	0.523	0.554	5.787
0.7426666666666666	0.451	0.537	5.17
0.435	0.511	0.576	5.761
0.5511111111111111	0.517	0.649	5.615
0.443	0.497	0.554	5.299
0.798	0.503	0.56	5.445
0.415	0.493	0.549	5.793
0.5506666666666667	0.464	0.536	5.355
0.426	0.493	0.552	5.281
0.798	0.52	0.543	5.672
0.424	0.498	0.541	5.857
1.135	0.561	0.992	6.438
0.486	0.483	0.654	5.554
